$id,foaf:name,rdf:type,owner,schema:addressRegion,starRating
28,Buhemba,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
29,Rwamkoma Jkt,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
30,Ryamgabo,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
31,Butuguri,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
32,Kiabakari Jwtz,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
33,Masurura,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
34,Ikizuhealth Centre,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Mara_Region,1
35,Nyasirori,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
36,Nyamisisi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
37,Kizaru,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
38,Magana,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
39,Kasahunga H/c,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Mara_Region,1
40,Nyankanga,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
41,Mwibagi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
42,Bunda H/c,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Mara_Region,1
43,Nyabange,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
44,Kamugegi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
45,Nyabange,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
46,Muriaza,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
47,Muriaza Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
48,Sir0risimba,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
49,Kamgendi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,0
50,Rwamkoma,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,0
51,Mirwa,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,0
52,Kasuguti,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Mara_Region,0
53,Baranga,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,0
54,Kisorya,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Mara_Region,0
55,Mugeta,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Mara_Region,0
56,Nyatwali H/c,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Mara_Region,0
57,Busegwe,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,0
58,Busegwe Sda,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,0
59,Kitalamanka,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,0
60,Kiabakari Magereza,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,0
61,Fumagila,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mwanza_Region,2
62,Tmrc-urafiki,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Mwanza_Region,1
63,Kaseni,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mwanza_Region,1
64,Murutilima,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mwanza_Region,1
65,Gereza Butimba,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mwanza_Region,1
66,Huduma Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mwanza_Region,1
67,Bukondo,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mwanza_Region,0
68,Mahembe Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
69,Mwamapalala Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
70,Lugulu Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
71,Zanzui Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
72,Isanga Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
73,Majahida Aict Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
74,Muhoja Kmt Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
75,Mwakibuga Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
76,Nyangokolwa Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
77,Nyaumata Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
78,Old Maswa Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
79,Ngulyati Health Centre,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
80,Bariadi Town Council  ,schema:Hospital,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
81,Maswa,schema:Hospital,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
82,Songambele Rc,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
83,Nkololo Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
84,Masewa,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
85,Igegu,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
86, Matongo Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
87,Kasoli,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
88,Dutwa Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
89,Banemhi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
90,Mwasinasi Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
91,Mwasubuya Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
92,Sakwe Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
93,Mwamlapa Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
94,Mwanangi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
95,Mwanhale,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
96,Mwasamba,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
97,Malili,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
98,Mungu Kwanza,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
99,Kalemera,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
100,Bulima,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
101,Nassa,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
102,Lalago,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
103,Malampaka,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
104,Badi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
105,Malita,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
106,Budekwa Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
107,Bugalama Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
108,Masanwa Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
109,Sangamwalugesha,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
110,Bushashi Dipensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
111,Ipililo Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
112,Mwabulimbu,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
113,Maswa Sec ,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
114,Mwabagalu Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
115,Mwashegeshi  Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
116,Wazazi Binza Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
117,Mpindo Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
118,Igunya Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
119,Jija,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
120,Nyashimba Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,1
121,Sagati Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
122,Mwaswale Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
123,Nangale Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
124,Migato Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
125,Mwabuki Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
126,Habiya,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
127,Bumera Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
128,Gaswa Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
129,Mhunze Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
130,Lagangabilili Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
131,Nanga Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
132,Kinamweli Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
133,Sunzula Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
134,Sawida Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
135,Mwanunui Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
136,Bunamala  Mbugani Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
137,Nyamalapa Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
138,Wazazi Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
139,U.W.T Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
140,Kashishi Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
141,Ngeme Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
142,Chinamili Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
143,Nkuyu Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
144,Mitobo Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
145,Longalombogo Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
146,Bunamhala Chuoni Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
147,Bupandagila Sda Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
148,Dr. Maduhu Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
149,Dr. Mwijage Clinic,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
150,Guduwe Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
151,Kilulu Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
152,Matale Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
153,Mwanaleguma Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
154,Bariadi Magereza,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
155,Ditima Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
156,Muungano Health Centre,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
157,Byuna ,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
158,Gambosi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
159,Ihusi Dispensaryensary ,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
160,Nyawa Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
161,Halawa,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
162,Ng'arita,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
163,Ikungulyambesi Dispensaryensary ,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
164,Gibeshi Dispensaryensary ,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
165,Lulayu,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
166,Nyamikoma Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
167,Nyamswa Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
168,Gasuma ,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
169,Sapiwi ,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
170,Dutwa Wazazi ,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
171,Miswaki,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
172,Ikungulyabashashi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
173,Igaganulwa Aict Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
174,Nyaluhande,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
175,Shigala,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
176,Ngasamo,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
177,Kijereshi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
178,Gininiga,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
179,Mwamigongwa,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
180,Lutubiga,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
181,Lamadi ,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
182,Menonite ,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
183,Lukungu,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
184,Kiloleli,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
185,Ijiha,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
186,Mwamjulila,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
187,Mwamagigisi,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
188,Bushigwamala,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
189,Nyamikoma,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
190,Badugu,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
191,Igalukilo,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
192,Mkula,schema:Hospital,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
193,Mwasayi,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
194,Mwagala Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
195,Dodoma,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
196,Kinamwigulu,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
197,Sayusayu  Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
198,Ikulilo Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
199,Shinyanga Mwenge Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
200,Mwamitumai Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
201,Isanga Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
202,Dulung'wa Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
203,Kadoto,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
204,Ilamata,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
205,Mwabayanda Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
206,Gula Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
207,Sulu,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
208,Mwabomba,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
209,Seng'wa Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
210,Senani Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
211,Mwamanenge Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
212,Nguliguli,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
213,Isageng'he  Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
214,Masela,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
215,Malya Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
216,Mwang'honoli,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
217,Shishiyu Dispensaryensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
218,Zebeya Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Simiyu_Region,0
219,Bochi,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,3
220,Mikocheni Mission,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,3
221,Moyo Safi Wa Maria,schema:MedicalClinic,Private,http://dbpedia.org/resource/Dar_es_Salaam,3
222,Tmj,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
223,Masana,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
224,Mbweni Mission,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
225,Salaaman,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
226,Sanitas,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
227,Edward Michaudi,schema:MedicalClinic,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
228,Aar Chato,schema:MedicalClinic,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
229,Marie Stopes- Kihttp://dbpedia.org/resource/Mara_Region,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
230,Arafa Mwananchi,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
231,Ben Mico,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
232,Bj Siso Mmari,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
233,Kitea,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
234,Omek,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
235,Aar Sinza,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
236,Upendo Ikunda,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
237,Pk,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
238,St. Brendan,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
239,Faraja,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
240,Aar Tegeta,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
241,Mafarasi Kigogo,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
242,Cignat,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
243,Kinondoni B,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,2
244,Kibangu Mission,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
245,Kinondoni,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
246,Sali,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
247,Marie Stopes Mwenge,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
248,Msasani Peninsula,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
249,Mama Privatema,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
250,Mikumi,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
251,Ekenywa,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
252,Imtu,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
253,St. Monica,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
254,Mount Ukombozi,schema:Hospital,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
255,Neema,schema:MedicalClinic,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
256,Luguruni H/c,schema:MedicalClinic,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
257,Sisa,schema:MedicalClinic,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
258,London,schema:MedicalClinic,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
259,Mico Sinza,schema:MedicalClinic,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
260,Agha Khan,schema:MedicalClinic,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
261,Tms Mbezi,schema:MedicalClinic,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
262,Mna Dispensary,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
263,Salama 1- Baruti,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
264,Gati Dispensary,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
265,Kh,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
266,Arafa Kona,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
267,Arafa Mbezi,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
268,Arafa Ubuprivate,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
269,Huruma Kihttp://dbpedia.org/resource/Mara_Region,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
270,Ics St. Esther,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
271,Kg Afya Care,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
272,Kihttp://dbpedia.org/resource/Mara_Region Central,schema:Pharmacy,Private,http://dbpedia.org/resource/Dar_es_Salaam,1
